# 第一批異体字整理表（一異表）
yyb/variant,<rev>,yyb/regular
置,yyb/variant,寘
跖,yyb/variant,蹠
栀,yyb/variant,梔
祇,yyb/variant,衹
祇,yyb/variant,秖
志,yyb/variant,誌
紙,yyb/variant,帋
稚,yyb/variant,穉
稚,yyb/variant,稺
侄,yyb/variant,姪
侄,yyb/variant,妷
冢,yyb/variant,塚
衆,yyb/variant,眾
周,yyb/variant,週
咒,yyb/variant,呪
帚,yyb/variant,箒
煮,yyb/variant,煑
箸,yyb/variant,筯
伫,yyb/variant,竚
伫,yyb/variant,佇
注,yyb/variant,註
猪,yyb/variant,豬
磚,yyb/variant,甎
磚,yyb/variant,塼
撰,yyb/variant,譔
專,yyb/variant,耑
饌,yyb/variant,籑
妝,yyb/variant,粧
斫,yyb/variant,斲
斫,yyb/variant,斵
斫,yyb/variant,斮
桌,yyb/variant,槕
姊,yyb/variant,姉
資,yyb/variant,貲
眦,yyb/variant,眥
偬,yyb/variant,傯
鬃,yyb/variant,騌
鬃,yyb/variant,騣
鬃,yyb/variant,鬉
踪,yyb/variant,蹤
棕,yyb/variant,椶
粽,yyb/variant,糉
卒,yyb/variant,䘚
纂,yyb/variant,篹
鑽,yyb/variant,鑚
最,yyb/variant,㝡
最,yyb/variant,冣
罪,yyb/variant,辠
樽,yyb/variant,罇
