# 部品の相対位置の違いによる異体字
kdp/variant/positional,<rev>,kdp/variant/positional
熷,kdp/variant/positional,𤎯
熺,kdp/variant/positional,𤏴
燄,kdp/variant/positional,𤏭
燧,kdp/variant/positional,㸂
爋,kdp/variant/positional,𤑕
爋,kdp/variant/positional,𤑛
爴,kdp/variant/positional,𤔩
牡,kdp/variant/positional,𡉯
犈,kdp/variant/positional,𤙻
犚,kdp/variant/positional,𤛌
獡,kdp/variant/positional,𤡯
玐,kdp/variant/positional,兲
玩,kdp/variant/positional,㒬
琢,kdp/variant/positional,𤥨
琪,kdp/variant/positional,𤦢
琲,kdp/variant/positional,𤦅
瑤,kdp/variant/positional,瑶
瑨,kdp/variant/positional,𤨁
瓠,kdp/variant/positional,𤫸
瓤,kdp/variant/positional,𤬞
瓰,kdp/variant/positional,瓫
瓴,kdp/variant/positional,𤬻
瓶,kdp/variant/positional,𤭅
瓸,kdp/variant/positional,㼣
瓺,kdp/variant/positional,𤭖
甆,kdp/variant/positional,𤮀
甎,kdp/variant/positional,𤮍
甜,kdp/variant/positional,甛
甥,kdp/variant/positional,㽒
町,kdp/variant/positional,甼
甿,kdp/variant/positional,𤰡
界,kdp/variant/positional,畍
略,kdp/variant/positional,畧
畭,kdp/variant/positional,畬
異,kdp/variant/positional,𤱨
異,kdp/variant/positional,𤱺
疉,kdp/variant/positional,𤴁
癿,kdp/variant/positional,𤼾
皉,kdp/variant/positional,𤽤
皝,kdp/variant/positional,𤾗
皯,kdp/variant/positional,𤿊
皵,kdp/variant/positional,𤿸
皸,kdp/variant/positional,皹
皾,kdp/variant/positional,𥀲
監,kdp/variant/positional,𧗄
